ID,Zip,BirthMonth,TotalSales,TotalSavings,TotalVisits,LastVisit,ReferralCode
544973,35016-1943,,3078.7600,375.0700,28,2017-08-19 13:56:23.683000,
544984,35952,,10429.1861,600.0800,90,2020-02-28 13:38:17, 
544986,37042-6945,,2454.3800,60.4800,46,2018-10-15 10:25:20.843000,Catalog
545038,351803022,,2324.8500,87.3800,28,2017-01-21 15:46:37, 
545059,35504,,2437.3500,204.3000,16,2019-11-10 13:47:10,
545062,49548,,21266.9300,0.0000,43,2019-09-04 09:04:21,
545091,35904-3641,,4044.4611,153.6400,45,2013-05-30 18:14:49.410000,Catalog
545107,350544629,,564.7100,38.4200,12,2019-08-24 13:44:42.717000, 
545113,45419-1522,,8963.4700,261813.5000,152,2020-07-23 13:37:18.170000, 
545166,35121,,5746.4400,520.2000,39,2019-12-03 16:39:31.420000, 
545168,35143,,702.6500,59.8200,17,2016-06-29 10:51:55, 
545251,352143227,,23862.3490,1349.2300,325,2011-10-25 14:23:08, 
545259,35188-3814,,1333.1800,166.5000,24,2010-08-12 14:50:31.893000,Friend
545266,35151-6330,,1632.6200,0.0000,8,2007-01-27 12:15:00,Friend
545280,36420-4118,,433.6100,40.5600,10,2011-03-31 17:04:50.440000, 
545283,72762,,18111.6800,683.7600,206,2018-07-28 14:30:22.510000,Catalog
545289,41216-8740,,1250.0590,154.4860,28,2019-02-26 12:58:38,Catalog
545290,49024-3324,,7453.3000,774.7200,42,2010-10-27 19:21:26.957000,
545294,39350,,3595.2100,153.1302,21,2012-02-10 14:00:40.713000, 
545359,35045,,1358.7000,192.9500,38,2018-12-04 10:54:44,Friend
545362,35111,,1042.3600,148.1500,28,2014-05-05 11:59:36, 
545378,352426891,,2061.4686,88.9438,21,2018-10-03 13:56:30.733000,Internet
545399,35401,,988.3540,55.7300,16,2006-11-02 12:06:50, 
545411,35242,,438.2800,88.7900,15,2011-02-06 12:26:29, 
545459,30655-4034,,2313.1000,404.5500,49,2019-11-18 16:44:38.690000,Retail Tab
545520,36109,,2072.5700,829693.3900,25,2013-01-13 16:09:24, 
545533,35120,,1021.2200,45.8200,27,2020-01-29 11:01:09, 
545534,39643-4973,,528.7300,51.7400,8,2011-03-18 14:12:38.127000,Brochure
545546,32608-5117,,686.9300,15.9600,10,2016-12-28 13:14:27.470000, 
545553,351243631,,1393.3000,130.4800,33,2020-03-02 12:43:02.450000, 
545559,36265-3712,,1195.6700,448.4500,9,2009-05-17 10:55:36.180000, 
545575,35603-2618,,1665.8600,125.6500,22,2013-02-13 14:01:47.640000, 
545576,370669104,,47570.9700,2621.3880,213,2019-06-25 12:27:37.140000, 
